State,Year,Quater,Entity_Name,Entity_Type,User_count
arunachal-pradesh,2019,4,tawang,State,7303
arunachal-pradesh,2019,4,namsai,State,5190
arunachal-pradesh,2019,4,west siang,State,4773
arunachal-pradesh,2019,4,lower dibang valley,State,3944
arunachal-pradesh,2019,4,tirap,State,3605
arunachal-pradesh,2020,1,papum pare,State,51342
arunachal-pradesh,2020,1,west kameng,State,13983
arunachal-pradesh,2020,1,east siang,State,11298
arunachal-pradesh,2020,1,changlang,State,11262
arunachal-pradesh,2020,1,lohit,State,8454
arunachal-pradesh,2020,1,tawang,State,8048
arunachal-pradesh,2020,1,namsai,State,6029
arunachal-pradesh,2020,1,west siang,State,5757
arunachal-pradesh,2020,1,lower dibang valley,State,4650
arunachal-pradesh,2020,1,lower subansiri,State,4351
arunachal-pradesh,2020,2,papum pare,State,59968
arunachal-pradesh,2020,2,west kameng,State,15766
arunachal-pradesh,2020,2,changlang,State,14036
arunachal-pradesh,2020,2,east siang,State,13601
arunachal-pradesh,2020,2,lohit,State,10154
arunachal-pradesh,2020,2,tawang,State,8993
arunachal-pradesh,2020,2,namsai,State,7426
arunachal-pradesh,2020,2,west siang,State,7239
arunachal-pradesh,2020,2,lower dibang valley,State,5782
arunachal-pradesh,2020,2,lower subansiri,State,5392
arunachal-pradesh,2020,3,papum pare,State,69419
arunachal-pradesh,2020,3,west kameng,State,17636
arunachal-pradesh,2020,3,changlang,State,16385
arunachal-pradesh,2020,3,east siang,State,15921
arunachal-pradesh,2020,3,lohit,State,11755
arunachal-pradesh,2020,3,tawang,State,9944
arunachal-pradesh,2020,3,west siang,State,8623
arunachal-pradesh,2020,3,namsai,State,8553
arunachal-pradesh,2020,3,lower dibang valley,State,6799
arunachal-pradesh,2020,3,lower subansiri,State,6456
arunachal-pradesh,2020,4,papum pare,State,77936
arunachal-pradesh,2020,4,west kameng,State,19464
arunachal-pradesh,2020,4,changlang,State,18203
arunachal-pradesh,2020,4,east siang,State,17822
arunachal-pradesh,2020,4,lohit,State,13126
arunachal-pradesh,2020,4,tawang,State,10909
arunachal-pradesh,2020,4,west siang,State,9911
arunachal-pradesh,2020,4,namsai,State,9437
arunachal-pradesh,2020,4,lower dibang valley,State,7693
arunachal-pradesh,2020,4,lower subansiri,State,7388
arunachal-pradesh,2021,1,papum pare,State,84715
arunachal-pradesh,2021,1,west kameng,State,21027
arunachal-pradesh,2021,1,changlang,State,19716
arunachal-pradesh,2021,1,east siang,State,19342
arunachal-pradesh,2021,1,lohit,State,14231
arunachal-pradesh,2021,1,tawang,State,11778
arunachal-pradesh,2021,1,west siang,State,10836
arunachal-pradesh,2021,1,namsai,State,10242
arunachal-pradesh,2021,1,lower dibang valley,State,8402
arunachal-pradesh,2021,1,lower subansiri,State,8044
arunachal-pradesh,2021,2,papum pare,State,90871
arunachal-pradesh,2021,2,west kameng,State,22625
arunachal-pradesh,2021,2,changlang,State,21404
arunachal-pradesh,2021,2,east siang,State,20817
arunachal-pradesh,2021,2,lohit,State,15360
arunachal-pradesh,2021,2,tawang,State,12636
arunachal-pradesh,2021,2,west siang,State,11657
arunachal-pradesh,2021,2,namsai,State,11111
arunachal-pradesh,2021,2,lower dibang valley,State,9094
arunachal-pradesh,2021,2,lower subansiri,State,8685
arunachal-pradesh,2021,3,papum pare,State,97854
arunachal-pradesh,2021,3,west kameng,State,24489
arunachal-pradesh,2021,3,changlang,State,23328
arunachal-pradesh,2021,3,east siang,State,22538
arunachal-pradesh,2021,3,lohit,State,16680
arunachal-pradesh,2021,3,tawang,State,13650
arunachal-pradesh,2021,3,west siang,State,12616
arunachal-pradesh,2021,3,namsai,State,12140
arunachal-pradesh,2021,3,lower dibang valley,State,9920
arunachal-pradesh,2021,3,lower subansiri,State,9451
arunachal-pradesh,2021,4,papum pare,State,104806
arunachal-pradesh,2021,4,west kameng,State,26237
arunachal-pradesh,2021,4,changlang,State,25155
arunachal-pradesh,2021,4,east siang,State,24208
arunachal-pradesh,2021,4,lohit,State,17980
arunachal-pradesh,2021,4,tawang,State,14665
arunachal-pradesh,2021,4,west siang,State,13555
arunachal-pradesh,2021,4,namsai,State,13092
arunachal-pradesh,2021,4,lower dibang valley,State,10679
arunachal-pradesh,2021,4,lower subansiri,State,10187
